Date,Bid Price,Last Price,Ask Price,spread,Adjusted Duration
19/12/2022,96.7215,97.0916,97.4618,520.6838,0.000714971
16/12/2022,96.8403,97.2096,97.5789,503.3114,6.99E-05
15/12/2022,97.1811,97.5473,97.9136,491.057,0.000282503
14/12/2022,97.5913,97.9644,98.3376,477.8536,0.000322468
13/12/2022,97.6051,97.9757,98.3462,468.941,1.29E-05
12/12/2022,97.2461,97.6132,97.9803,496.7241,0.000133665
09/12/2022,97.0272,97.3967,97.7662,506.0332,0.000238784
08/12/2022,96.8654,97.231,97.5967,514.7869,0.000194682
