Date,Bid Price,Last Price,Ask Price,spread,Adjusted Duration
11/11/2024,27.147,27.23,27.312,27.0575,-0.003980943
11/07/2024,27.054,28,28.945,27.535,-0.057591623
11/06/2024,27.954,29.121,30.288,29.2002,-0.023117077
11/04/2024,32.489,33.442,34.395,30.6548,-0.088827705
11/01/2024,31.846,32.797,33.747,31.3464,0.028436138
10/10/2024,30.768,31.988,33.208,31.9729,0.040368291
10/09/2024,31.074,32.007,32.939,31.9099,0.009422542
10/07/2024,32.219,33.15,34.081,27.7238,0.008236697
10/04/2024,31.484,32.418,33.352,30.9851,0.006923634
10/01/2024,32.659,33.591,34.522,32.225,-0.028163616
09/10/2024,30.648,31.562,32.477,31.8982,-0.196714097
09/09/2024,29.2,30.737,32.274,30.517,-0.019432823
09/05/2024,29.093,30.44,31.787,28.4043,-0.004618213
09/04/2024,29.501,30.57,31.638,28.8403,-0.009753521
09/02/2024,27.806,28.023,28.241,30.81,0.046143893
08/08/2024,35.715,36.655,37.595,36.534,-0.041141354
08/07/2024,38.234,39.851,41.469,27.8637,0.009249823
08/05/2024,38.94,39.901,40.862,28.6163,-0.00166503
08/02/2024,36.034,36.971,37.908,31.99,0.023490917
08/01/2024,32.211,33.149,34.086,33.7521,0.065431925
07/11/2024,26.611,27.519,28.428,27.8725,-0.034795891
07/10/2024,26.638,27.979,29.319,33.3536,-0.002999563
07/08/2024,26.865,27.764,28.663,39.9125,0.001180662
07/05/2024,28.01,29.323,30.635,28.582,0.004692331
07/03/2024,28.348,29.218,30.088,26.8614,-0.002088617
07/02/2024,29.068,29.938,30.807,32.12,-0.004573404
06/11/2024,28.406,29.283,30.159,28.5817,-0.006321659
06/06/2024,27.76,29.069,30.379,28.8871,0.024105417
06/05/2024,27.597,28.616,29.636,28.4033,-0.032720762
06/03/2024,27.222,28.069,28.917,27.5625,-0.023177558
05/09/2024,27.697,28.763,29.83,30.501,-0.008211067
05/08/2024,27.899,28.728,29.558,40.0212,0.000127972
05/07/2024,27.77,28.597,29.424,28.3617,-0.00039289
05/06/2024,27.945,28.771,29.597,28.261,0.060057164
05/03/2024,28.122,29.083,30.044,28.5069,-0.043627152
05/02/2024,29.139,30.106,31.074,31.9106,-0.009983235
05/01/2024,30.152,31.43,32.707,36.2225,-0.009769558
04/11/2024,29.469,30.627,31.785,33.543,-0.009784921
04/10/2024,29.607,30.787,31.967,32.6195,0.005627503
